,phase,project_gpt,pull_number_gpt,is_gpt_pr,event_gpt,factor_gpt,factor_gpt_norm,duration_gpt,project_no_gpt,pull_number_no_gpt,is_no_gpt_pr,event_no_gpt,factor_no_gpt,factor_no_gpt_norm,duration_no_gpt,jaccard_distance,jaccard_similiarity,manhattan_distance,cosine_distance,cosine_similarity,euclidean_distance
827,at_waiting_before_change,Codium-ai_pr-agent,613,GPT PR,gpt assistance,[1 2 4 6],[0.  0.2 0.6 1. ],3.922,Tomas-M_linux-live,84,Not GPT PR,not gpt assistance,[ 7 18 51 92],[0.    0.129 0.518 1.   ],5273.265,0.0,1.0,0.153,0.01,0.99,0.108
828,at_waiting_before_change,Codium-ai_pr-agent,614,GPT PR,gpt assistance,[ 2  2 12  6],[0.  0.  1.  0.4],0.189,krahets_hello-algo,962,Not GPT PR,not gpt assistance,[ 1  1 32 13],[0.    0.    1.    0.387],29.322,0.0,1.0,0.013,0.017,0.983,0.013
829,at_waiting_before_change,Codium-ai_pr-agent,616,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],3.922,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
830,at_waiting_before_change,Codium-ai_pr-agent,618,GPT PR,gpt assistance,[1 1 6 7],[0.    0.    0.833 1.   ],380.822,1Panel-dev_appstore,355,Not GPT PR,not gpt assistance,[1 1 6 7],[0.    0.    0.833 1.   ],386.786,0.0,1.0,0.0,0.0,1.0,0.0
831,at_waiting_before_change,Codium-ai_pr-agent,620,GPT PR,gpt assistance,[ 3  7 38  6],[0.    0.114 1.    0.086],0.292,AgoraIO_agora_doc_source,2896,Not GPT PR,not gpt assistance,[  2  41 300  24],[0.    0.131 1.    0.074],46.712,0.0,1.0,0.029,0.006,0.994,0.021
832,at_waiting_before_change,Codium-ai_pr-agent,621,GPT PR,gpt assistance,[ 6  7 41  6],[0.    0.029 1.    0.   ],211.595,woowacourse-teams_2023-baton,625,Not GPT PR,not gpt assistance,[  11  134 4006    3],[0.002 0.033 1.    0.   ],49.902,0.333,0.667,0.006,0.029,0.971,0.004
833,at_waiting_before_change,Codium-ai_pr-agent,622,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],3.095,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
834,at_waiting_before_change,Codium-ai_pr-agent,624,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],0.688,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
835,at_waiting_before_change,Codium-ai_pr-agent,627,GPT PR,gpt assistance,[1 1 2 6],[0.  0.  0.2 1. ],0.113,tldr-pages_tldr,10095,Not GPT PR,not gpt assistance,[  2   2  24 112],[0.  0.  0.2 1. ],51.687,0.0,1.0,0.0,0.025,0.975,0.0
836,at_waiting_before_change,Codium-ai_pr-agent,628,GPT PR,gpt assistance,[1 1 8 6],[0.    0.    1.    0.714],24.143,gemini-hlsw_ocs,633,Not GPT PR,not gpt assistance,[ 3  3 17 13],[0.    0.    1.    0.714],1.262,0.0,1.0,0.0,0.002,0.998,0.0
837,at_waiting_before_change,Codium-ai_pr-agent,629,GPT PR,gpt assistance,[  4   4 188   6],[0.    0.    1.    0.011],0.43,Ada18980_KinkiestDungeon,86,Not GPT PR,not gpt assistance,[  9   9 508  15],[0.    0.    1.    0.012],388.415,0.0,1.0,0.001,0.0,1.0,0.001
838,at_waiting_before_change,Codium-ai_pr-agent,630,GPT PR,gpt assistance,[ 2  8 43  6],[0.    0.146 1.    0.098],165.289,AgoraIO_agora_doc_source,2896,Not GPT PR,not gpt assistance,[  2  41 300  24],[0.    0.131 1.    0.074],46.712,0.0,1.0,0.039,0.004,0.996,0.028
839,at_waiting_before_change,Codium-ai_pr-agent,634,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],119.797,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
840,at_waiting_before_change,Codium-ai_pr-agent,636,GPT PR,gpt assistance,[0 0 0 6],[0. 0. 0. 1.],6.996,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
841,at_waiting_before_change,Codium-ai_pr-agent,638,GPT PR,gpt assistance,[ 3  6 48  7],[0.    0.067 1.    0.089],301.59,Azure_MS-AMP-Examples,11,Not GPT PR,not gpt assistance,[ 1  2 22  3],[0.    0.048 1.    0.095],43.076,0.0,1.0,0.025,0.001,0.999,0.02
842,at_waiting_before_change,Codium-ai_pr-agent,639,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],20.945,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
843,at_waiting_before_change,Codium-ai_pr-agent,650,GPT PR,gpt assistance,[  1   1 105   7],[0.    0.    1.    0.058],15.283,tardis-sn_tardis,2261,Not GPT PR,not gpt assistance,[   4    4 2136  135],[0.    0.    1.    0.061],121.736,0.0,1.0,0.003,0.0,1.0,0.003
844,at_waiting_before_change,Codium-ai_pr-agent,651,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.028,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
845,at_waiting_before_change,Codium-ai_pr-agent,653,GPT PR,gpt assistance,[ 4  8 39  7],[0.    0.114 1.    0.086],4.075,AgoraIO_agora_doc_source,2896,Not GPT PR,not gpt assistance,[  2  41 300  24],[0.    0.131 1.    0.074],46.712,0.0,1.0,0.029,0.011,0.989,0.021
846,at_waiting_before_change,Codium-ai_pr-agent,654,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],1.678,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
847,at_waiting_before_change,Codium-ai_pr-agent,655,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],4.726,canonical_cloud-init,479,Not GPT PR,not gpt assistance,[ 4  4 15 68],[0.    0.    0.172 1.   ],46.499,0.0,1.0,0.005,0.008,0.992,0.005
848,at_waiting_before_change,Codium-ai_pr-agent,656,GPT PR,gpt assistance,[ 13  16 205   7],[0.03  0.045 1.    0.   ],444.841,h2oai_h2o-llmstudio,301,Not GPT PR,not gpt assistance,[  36   61 1292    3],[0.026 0.045 1.    0.   ],186.299,0.0,1.0,0.004,0.002,0.998,0.004
849,at_waiting_before_change,Codium-ai_pr-agent,661,GPT PR,gpt assistance,[  6  17 101   7],[0.    0.116 1.    0.011],431.817,Azure-Samples_azure-search-openai-demo,361,Not GPT PR,not gpt assistance,[ 2 11 84  5],[0.    0.11  1.    0.037],1047.314,0.0,1.0,0.032,0.001,0.999,0.027
850,at_waiting_before_change,Codium-ai_pr-agent,665,GPT PR,gpt assistance,[  1   4 129   7],[0.    0.023 1.    0.047],38.442,zeabur_zeabur,278,Not GPT PR,not gpt assistance,[  2   7 240  13],[0.    0.021 1.    0.046],39.49,0.0,1.0,0.003,0.0,1.0,0.002
851,at_waiting_before_change,Codium-ai_pr-agent,666,GPT PR,gpt assistance,[ 1  4 51  7],[0.   0.06 1.   0.12],62.751,mudita_MuditaOS,2274,Not GPT PR,not gpt assistance,[  1  10 213  26],[0.    0.042 1.    0.118],503.466,0.0,1.0,0.02,0.001,0.999,0.018
852,at_waiting_before_change,Codium-ai_pr-agent,667,GPT PR,gpt assistance,[ 3  3 80  9],[0.    0.    1.    0.078],1282.525,allwefantasy_byzer-llm,17,Not GPT PR,not gpt assistance,[ 4  4 73  9],[0.    0.    1.    0.072],20.34,0.0,1.0,0.006,0.0,1.0,0.006
853,at_waiting_before_change,Codium-ai_pr-agent,670,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],49.154,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
854,at_waiting_before_change,Codium-ai_pr-agent,672,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],27.551,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
855,at_waiting_before_change,Codium-ai_pr-agent,673,GPT PR,gpt assistance,[  4   4 104   7],[0.   0.   1.   0.03],20.404,mash-up-kr_moit-web,27,Not GPT PR,not gpt assistance,[ 1  1 33  2],[0.    0.    1.    0.031],42.638,0.0,1.0,0.001,0.0,1.0,0.001
856,at_waiting_before_change,Codium-ai_pr-agent,674,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.059,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
857,at_waiting_before_change,Codium-ai_pr-agent,675,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.292,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
858,at_waiting_before_change,Codium-ai_pr-agent,677,GPT PR,gpt assistance,[1 1 4 7],[0.  0.  0.5 1. ],0.2,0xk1h0_ChatGPT_DAN,62,Not GPT PR,not gpt assistance,[1 1 2 3],[0.  0.  0.5 1. ],0.948,0.0,1.0,0.0,0.022,0.978,0.0
859,at_waiting_before_change,Codium-ai_pr-agent,678,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.024,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
860,at_waiting_before_change,Codium-ai_pr-agent,679,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],625.679,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
861,at_waiting_before_change,Codium-ai_pr-agent,680,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.76,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
862,at_waiting_before_change,Codium-ai_pr-agent,681,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],117.388,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
863,at_waiting_before_change,Codium-ai_pr-agent,682,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],1.538,canonical_cloud-init,479,Not GPT PR,not gpt assistance,[ 4  4 15 68],[0.    0.    0.172 1.   ],46.499,0.0,1.0,0.005,0.008,0.992,0.005
864,at_waiting_before_change,Codium-ai_pr-agent,683,GPT PR,gpt assistance,[  5   6 111   7],[0.    0.009 1.    0.019],2.246,stanford-crfm_levanter,404,Not GPT PR,not gpt assistance,[  5  11 804  19],[0.    0.008 1.    0.018],226.722,0.0,1.0,0.002,0.002,0.998,0.001
865,at_waiting_before_change,Codium-ai_pr-agent,684,GPT PR,gpt assistance,[1 1 3 7],[0.    0.    0.333 1.   ],0.216,Homebrew_legacy-homebrew,22037,Not GPT PR,not gpt assistance,[ 2  2 17 51],[0.    0.    0.306 1.   ],711.256,0.0,1.0,0.027,0.012,0.988,0.027
866,at_waiting_before_change,Codium-ai_pr-agent,687,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.152,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
867,at_waiting_before_change,Codium-ai_pr-agent,691,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.04,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
868,at_waiting_before_change,Codium-ai_pr-agent,694,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],5.458,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
869,at_waiting_before_change,Codium-ai_pr-agent,695,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],4.299,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
870,at_waiting_before_change,Codium-ai_pr-agent,696,GPT PR,gpt assistance,[ 2  4 36  7],[0.    0.059 1.    0.147],0.732,huggingface_peft,1217,Not GPT PR,not gpt assistance,[ 6  8 49 12],[0.    0.047 1.    0.14 ],235.439,0.0,1.0,0.019,0.004,0.996,0.014
871,at_waiting_before_change,Codium-ai_pr-agent,700,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],12.871,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
872,at_waiting_before_change,Codium-ai_pr-agent,701,GPT PR,gpt assistance,[ 2  2 22  7],[0.   0.   1.   0.25],2.772,freeCodeCamp_chinese,1160,Not GPT PR,not gpt assistance,[  1   1 217  55],[0.   0.   1.   0.25],1144.337,0.0,1.0,0.0,0.008,0.992,0.0
873,at_waiting_before_change,Codium-ai_pr-agent,705,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.028,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
874,at_waiting_before_change,Codium-ai_pr-agent,706,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],7.007,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
875,at_waiting_before_change,Codium-ai_pr-agent,707,GPT PR,gpt assistance,[1 1 4 7],[0.  0.  0.5 1. ],4.566,0xk1h0_ChatGPT_DAN,62,Not GPT PR,not gpt assistance,[1 1 2 3],[0.  0.  0.5 1. ],0.948,0.0,1.0,0.0,0.022,0.978,0.0
876,at_waiting_before_change,Codium-ai_pr-agent,708,GPT PR,gpt assistance,[  4  20 333   7],[0.    0.049 1.    0.009],14.07,yunionio_cloudpods,746,Not GPT PR,not gpt assistance,[  3  34 643   9],[0.    0.048 1.    0.009],212.309,0.0,1.0,0.001,0.0,1.0,0.001
877,at_waiting_before_change,Codium-ai_pr-agent,709,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],19.585,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
878,at_waiting_before_change,Codium-ai_pr-agent,710,GPT PR,gpt assistance,[ 4  4 34  7],[0.  0.  1.  0.1],0.909,webstudio-is_webstudio,2403,Not GPT PR,not gpt assistance,[  3   3 153  18],[0.  0.  1.  0.1],159.92,0.0,1.0,0.0,0.013,0.987,0.0
879,at_waiting_before_change,Codium-ai_pr-agent,712,GPT PR,gpt assistance,[ 1  2 11  7],[0.  0.1 1.  0.6],2.049,sparcs-kaist_taxi-front,769,Not GPT PR,not gpt assistance,[ 4  8 61 37],[0.    0.07  1.    0.579],828.371,0.0,1.0,0.051,0.001,0.999,0.037
880,at_waiting_before_change,Codium-ai_pr-agent,714,GPT PR,gpt assistance,[1 1 2 7],[0.    0.    0.167 1.   ],49.167,canonical_cloud-init,479,Not GPT PR,not gpt assistance,[ 4  4 15 68],[0.    0.    0.172 1.   ],46.499,0.0,1.0,0.005,0.008,0.992,0.005
881,at_waiting_before_change,Codium-ai_pr-agent,715,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],41.231,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
882,at_waiting_before_change,Codium-ai_pr-agent,716,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.079,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
883,at_waiting_before_change,Codium-ai_pr-agent,717,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.206,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
884,at_waiting_before_change,Codium-ai_pr-agent,719,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],189.26,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
885,at_waiting_before_change,Codium-ai_pr-agent,720,GPT PR,gpt assistance,[1 1 2 8],[0.    0.    0.143 1.   ],279.753,canonical_cloud-init,479,Not GPT PR,not gpt assistance,[ 4  4 15 68],[0.    0.    0.172 1.   ],46.499,0.0,1.0,0.029,0.004,0.996,0.029
886,at_waiting_before_change,Codium-ai_pr-agent,723,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],51.615,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
887,at_waiting_before_change,Codium-ai_pr-agent,725,GPT PR,gpt assistance,[ 1  1 22  7],[0.    0.    1.    0.286],0.108,openwrt_openwrt,10690,Not GPT PR,not gpt assistance,[  1   4 298  83],[0.    0.01  1.    0.276],1215.309,0.333,0.667,0.02,0.002,0.998,0.014
888,at_waiting_before_change,Codium-ai_pr-agent,727,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],3.755,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
889,at_waiting_before_change,Codium-ai_pr-agent,729,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],43.051,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
890,at_waiting_before_change,Codium-ai_pr-agent,730,GPT PR,gpt assistance,[ 4  4 31  7],[0.    0.    1.    0.111],49.585,Codecademy_docs,1829,Not GPT PR,not gpt assistance,[ 14  14 101  23],[0.    0.    1.    0.103],585.616,0.0,1.0,0.008,0.0,1.0,0.008
891,at_waiting_before_change,Codium-ai_pr-agent,736,GPT PR,gpt assistance,[0 0 0 7],[0. 0. 0. 1.],0.886,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
892,at_waiting_before_change,Codium-ai_pr-agent,744,GPT PR,gpt assistance,[ 3  3 19  8],[0.    0.    1.    0.312],92.847,digital-asset_daml,3294,Not GPT PR,not gpt assistance,[ 3  3 16  7],[0.    0.    1.    0.308],116.097,0.0,1.0,0.004,0.001,0.999,0.004
893,at_waiting_before_change,Codium-ai_pr-agent,745,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],1.462,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
894,at_waiting_before_change,Codium-ai_pr-agent,747,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.271,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
895,at_waiting_before_change,Codium-ai_pr-agent,748,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],8.815,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
896,at_waiting_before_change,Codium-ai_pr-agent,750,GPT PR,gpt assistance,[    2   149 48728     9],[0.    0.003 1.    0.   ],737.054,cirros-dev_cirros,82,Not GPT PR,not gpt assistance,[   13    56 24960    33],[0.    0.002 1.    0.001],191.691,0.333,0.667,0.002,0.0,1.0,0.001
897,at_waiting_before_change,Codium-ai_pr-agent,751,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],74.188,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
898,at_waiting_before_change,Codium-ai_pr-agent,756,GPT PR,gpt assistance,[  6  16 117   8],[0.    0.09  1.    0.018],189.742,woowacourse_react-payments,392,Not GPT PR,not gpt assistance,[ 20  84 803  36],[0.    0.082 1.    0.02 ],71.228,0.0,1.0,0.01,0.001,0.999,0.008
899,at_waiting_before_change,Codium-ai_pr-agent,757,GPT PR,gpt assistance,[ 5 13 72  8],[0.    0.119 1.    0.045],28.108,Azure-Samples_azure-search-openai-demo,361,Not GPT PR,not gpt assistance,[ 2 11 84  5],[0.    0.11  1.    0.037],1047.314,0.0,1.0,0.017,0.003,0.997,0.012
900,at_waiting_before_change,Codium-ai_pr-agent,759,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.856,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
901,at_waiting_before_change,Codium-ai_pr-agent,762,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],421.666,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
902,at_waiting_before_change,Codium-ai_pr-agent,764,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],38.953,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
903,at_waiting_before_change,Codium-ai_pr-agent,769,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],21.186,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
904,at_waiting_before_change,Codium-ai_pr-agent,772,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.48,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
905,at_waiting_before_change,Codium-ai_pr-agent,775,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],3.811,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
906,at_waiting_before_change,Codium-ai_pr-agent,776,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],6.832,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
907,at_waiting_before_change,Codium-ai_pr-agent,786,GPT PR,gpt assistance,[1 1 2 8],[0.    0.    0.143 1.   ],2.297,canonical_cloud-init,479,Not GPT PR,not gpt assistance,[ 4  4 15 68],[0.    0.    0.172 1.   ],46.499,0.0,1.0,0.029,0.004,0.996,0.029
908,at_waiting_before_change,Codium-ai_pr-agent,793,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.257,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
909,at_waiting_before_change,Codium-ai_pr-agent,800,GPT PR,gpt assistance,[ 3  4 25  8],[0.    0.045 1.    0.227],90.574,pengutronix_genimage,155,Not GPT PR,not gpt assistance,[  3  13 306  74],[0.    0.033 1.    0.234],953.437,0.0,1.0,0.019,0.014,0.986,0.014
910,at_waiting_before_change,Codium-ai_pr-agent,804,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],2.958,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
911,at_waiting_before_change,Codium-ai_pr-agent,805,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.94,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
912,at_waiting_before_change,Codium-ai_pr-agent,809,GPT PR,gpt assistance,[ 0  0  0 10],[0. 0. 0. 1.],1215.057,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
913,at_waiting_before_change,Codium-ai_pr-agent,810,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],0.671,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
914,at_waiting_before_change,Codium-ai_pr-agent,815,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],106.336,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
915,at_waiting_before_change,Codium-ai_pr-agent,817,GPT PR,gpt assistance,[0 0 0 8],[0. 0. 0. 1.],145.927,ultralytics_JSON2YOLO,77,Not GPT PR,not gpt assistance,[ 0  0  0 56],[0. 0. 0. 1.],0.0,0.0,1.0,0.0,0.0,1.0,0.0
916,at_waiting_before_change,Data-Provenance-Initiative_Data-Provenance-Collection,26,GPT PR,gpt assistance,[ 2  3 33  5],[0.    0.032 1.    0.097],1524.201,lastmile-ai_aiconfig,1112,Not GPT PR,not gpt assistance,[ 1  2 40  5],[0.    0.026 1.    0.103],74.284,0.0,1.0,0.012,0.002,0.998,0.008
